timestamp,machine_id,operator_id,machine_model,engine_hours,engine_rpm,engine_load_pct,coolant_temp_c,oil_pressure_bar,oil_temperature_c,fuel_level_l,fuel_consumed_l,fuel_rate_l_hr,idle_time_min,operating_time_min,speed_kmh,distance_km,cycle_count,cycle_time_sec,payload_tonnes,bucket_load_tonnes,load_count,hydraulic_pressure_bar,hydraulic_temp_c,transmission_temp_c,battery_voltage_v,seatbelt_status,proximity_alert,overspeed_alert,unsafe_operation,fault_code,machine_status,site_id,latitude,longitude
2026-01-01 00:00:00,EXC001,OP1002,320 GC,1909.58,703.0,14.0,82.1,3.09,89.6,316.2,23535.9,3.28,5.0,0.0,0.0,763.83,66835,0.0,0.0,0.0,60151,121.9,56.9,62.4,27.66,True,False,False,False,NONE,IDLE,SITE_QUARRY_NORTH,41.52294,-88.082277
2026-01-01 00:00:00,EXC002,OP1004,323,10362.26,703.0,16.2,84.9,2.97,91.5,268.9,149735.0,3.83,5.0,0.0,0.0,4144.9,362679,0.0,0.0,0.0,326411,119.4,61.8,60.7,28.08,True,False,False,False,NONE,IDLE,SITE_METRO_EXPANSION,41.878503,-87.629601
2026-01-01 00:00:00,EXC004,OP1006,323,4838.18,695.0,15.0,83.3,2.8,89.8,311.1,69912.1,3.67,5.0,0.0,0.0,1935.27,169336,0.0,0.0,0.0,152402,119.1,59.2,63.7,27.73,True,False,False,False,NONE,IDLE,SITE_QUARRY_NORTH,41.52446,-88.082939
2026-01-01 00:00:00,EXC005,OP1008,320 GC,6863.38,726.0,14.1,82.7,3.0,88.0,309.7,84591.5,3.3,5.0,0.0,0.0,2745.35,240218,0.0,0.0,0.0,216196,126.8,62.1,60.7,27.78,True,False,False,False,NONE,IDLE,SITE_METRO_EXPANSION,41.8792,-87.629704
2026-01-01 00:00:00,EXC007,OP1010,336,9415.63,743.0,12.6,83.3,3.06,90.0,335.7,192079.3,5.48,5.0,0.0,0.0,3766.25,329547,0.0,0.0,0.0,296592,118.0,60.8,63.5,27.88,True,False,False,False,NONE,IDLE,SITE_QUARRY_NORTH,41.521814,-88.082922
2026-01-01 00:00:00,EXC008,OP1012,320 GC,8905.68,784.0,12.4,83.5,3.02,90.7,355.5,109762.7,3.17,5.0,0.0,0.0,3562.27,311698,0.0,0.0,0.0,280528,109.1,60.9,62.3,28.41,True,False,False,False,NONE,IDLE,SITE_HIGHWAY_CORRIDOR,41.3331,-88.839269
2026-01-01 00:00:00,EXC009,OP1014,336,1608.67,705.0,13.2,80.1,3.08,88.2,378.5,32817.4,5.19,5.0,0.0,0.0,643.47,56303,0.0,0.0,0.0,50672,119.4,59.5,58.5,27.75,True,False,False,False,NONE,IDLE,SITE_QUARRY_NORTH,41.522306,-88.082359
2026-01-01 00:00:00,LOD001,OP1001,950 GC,9011.01,707.0,13.4,82.2,2.9,89.3,249.5,118720.3,3.41,5.0,0.0,0.0,19824.22,315385,0.0,0.0,0.0,283846,126.1,60.3,62.7,27.79,True,False,False,False,NONE,IDLE,SITE_HIGHWAY_CORRIDOR,41.332246,-88.841526
2026-01-01 00:00:00,LOD002,OP1003,966,7392.86,701.0,14.5,82.5,3.03,90.4,280.8,138246.8,4.81,5.0,0.0,0.0,16264.28,258749,0.0,0.0,0.0,232874,121.5,59.6,63.3,27.9,True,False,False,False,NONE,IDLE,SITE_HIGHWAY_CORRIDOR,41.329226,-88.840994
2026-01-01 00:00:00,LOD003,OP1005,950 GC,10838.77,1834.0,73.7,91.0,4.1,104.5,325.1,142800.9,15.01,0.0,5.0,1.6,23845.24,379356,39.3,13.7,3.79,341418,299.0,71.4,63.3,27.91,True,False,False,False,NONE,OPERATING,SITE_METRO_EXPANSION,41.878974,-87.627501
2026-01-01 00:05:00,EXC001,OP1002,320 GC,1909.58,713.0,13.1,81.7,3.05,89.4,316.0,23536.1,3.25,5.0,0.0,0.0,763.83,66835,0.0,0.0,0.0,60151,128.6,57.2,61.4,27.7,True,False,False,False,NONE,IDLE,SITE_QUARRY_NORTH,41.524355,-88.082171
2026-01-01 00:05:00,EXC002,OP1004,323,10362.26,738.0,11.6,83.2,2.95,89.6,268.6,149735.3,3.69,5.0,0.0,0.0,4144.9,362679,0.0,0.0,0.0,326411,121.2,60.5,62.6,27.61,True,False,False,False,NONE,IDLE,SITE_METRO_EXPANSION,41.87919,-87.631235
